"u","G","H","Points:0","Points:1","Points:2"
-1.0164,-51.406,51.406,-6.564,-1.619,-3.285
-1.095,-56.785,56.785,-6.946,-1.336,-3.07
-0.99029,-50.502,50.502,-6.657,-1.322,-3.347
-1.1237,-57.542,57.542,-6.967,-0.984,-3.098
-0.98979,-51.124,51.124,-6.677,-1.007,-3.372
-1.237,-60.886,60.886,-6.905,-0.637,-3.083
-1.0763,-53.2,53.2,-6.621,-0.695,-3.359
-1.4323,-65.942,65.942,-6.763,-0.318,-3.027
-1.2383,-56.427,56.427,-6.494,-0.409,-3.309
-1.6518,-71.582,71.582,-6.552,-0.051,-2.934
-1.4237,-60.324,60.324,-6.304,-0.169,-3.225
-1.9388,-76.979,76.979,-6.286,0.145,-2.809
-1.5776,-64.439,64.439,-6.065,0.007,-3.113
-2.1023,-81.526,81.526,-5.985,0.257,-2.662
-1.7555,-68.517,68.517,-5.795,0.108,-2.981
-2.2678,-84.799,84.799,-5.669,0.277,-2.504
-1.8995,-72.307,72.307,-5.512,0.125,-2.839
-2.4077,-88.234,88.234,-5.087,0.165,-2.182
-2.5788,-92.493,92.493,-4.788,0.213,-2.074
-2.4653,-89.176,89.176,-5.148,0.252,-2.055
-2.6098,-90.91,90.91,-4.85,0.301,-1.945
-2.5067,-93.605,93.605,-5.679,0.452,-2.012
-2.4285,-88.494,88.494,-5.34,0.54,-1.64
-2.5276,-95.643,95.643,-5.947,0.53,-1.793
-2.3838,-89.395,89.395,-5.619,0.621,-1.413
-2.555,-96.38,96.38,-6.219,0.527,-1.563
-2.4472,-91.325,91.325,-5.901,0.618,-1.175
-2.5573,-95.988,95.988,-6.48,0.442,-1.336
-2.5458,-94.586,94.586,-6.17,0.53,-0.939
-2.7295,-101.08,101.08,-6.615,0.223,-0.694
-2.6892,-99.293,99.293,-6.818,0.092,-0.659
-2.8324,-107.07,107.07,-6.362,0.513,-0.149
-2.6452,-97.406,97.406,-6.16,0.541,-0.597
-2.7714,-105.77,105.77,-6.092,0.625,-0.015
-2.4991,-95.165,95.165,-5.88,0.656,-0.459
-2.6797,-103.94,103.94,-5.808,0.671,0.128
-2.4081,-93.238,93.238,-5.586,0.705,-0.31
-2.6718,-103.93,103.93,-5.784,0.694,0.451
-2.397,-94.726,94.726,-5.508,0.787,0.847
-2.6893,-104.55,104.55,-6.043,0.672,0.632
-2.3335,-92.822,92.822,-5.777,0.764,1.035
-2.6272,-104.15,104.15,-6.291,0.586,0.811
-2.2566,-90.545,90.545,-6.033,0.675,1.22
-2.5876,-103.2,103.2,-6.515,0.439,0.98
-2.1554,-88.135,88.135,-6.266,0.522,1.395
-2.5554,-101.96,101.96,-6.708,0.238,1.132
-2.0566,-85.71,85.71,-6.465,0.314,1.553
-2.5079,-100.73,100.73,-6.86,-0.01,1.26
-2.0249,-83.503,83.503,-6.622,0.058,1.685
-2.0427,-83.96,83.96,-6.778,-0.331,1.746
-2.437,-99.6,99.6,-7.061,-0.672,1.392
-2.0271,-84.324,84.324,-6.862,-0.665,1.774
-1.6428,-70.794,70.794,-6.842,-0.637,2.204
-2.4022,-99.079,99.079,-7.038,-1.065,1.412
-1.9779,-83.829,83.829,-6.842,-1.009,1.793
-1.6125,-70.357,70.357,-6.821,-0.989,2.223
-1.9127,-82.585,82.585,-6.719,-1.332,1.799
-2.3153,-98.238,98.238,-6.739,-1.741,1.339
-1.8553,-81.15,81.15,-6.497,-1.736,1.767
-2.3262,-98.63,98.63,-6.528,-2.001,1.218
-1.8738,-82.675,82.675,-6.279,-2.006,1.642
-2.3007,-98.889,98.889,-6.276,-2.199,1.062
-1.9082,-84.398,84.398,-6.017,-2.21,1.48
-2.2762,-98.704,98.704,-5.996,-2.323,0.88
-1.9293,-86.067,86.067,-5.727,-2.338,1.292
-2.2125,-97.537,97.537,-5.703,-2.367,0.682
-1.9427,-87.464,87.464,-5.424,-2.384,1.087
-2.2217,-97.16,97.16,-5.698,-2.39,0.335
-1.9067,-85.502,85.502,-5.471,-2.466,-0.096
-2.3543,-99.358,99.358,-5.986,-2.383,0.187
-2.0354,-87.776,87.776,-5.77,-2.459,-0.249
-2.4837,-101.07,101.07,-6.266,-2.308,0.04
-2.1971,-90.396,90.396,-6.06,-2.381,-0.402
-1.8958,-90.252,90.252,-5.154,-2.284,0.458
-1.6835,-84.718,84.718,-4.703,-2.195,0.423
-1.5162,-80.348,80.348,-4.311,-2.171,0.187
-1.4556,-78.771,78.771,-4.236,-2.205,0.051
-1.4399,-74.132,74.132,-4.636,-2.454,-0.467
-1.5082,-78.94,78.94,-4.118,-2.396,-0.514
-1.4551,-74.067,74.067,-4.663,-2.49,-0.82
-1.6024,-80.906,80.906,-4.146,-2.431,-0.867
-1.5049,-75.437,75.437,-4.7,-2.449,-1.171
-1.7489,-84.12,84.12,-4.182,-2.39,-1.218
-1.6474,-77.652,77.652,-4.743,-2.333,-1.505
-1.8923,-88.145,88.145,-4.225,-2.275,-1.552
-1.6841,-77.51,77.51,-4.954,-2.03,-2.151
-1.7042,-77.651,77.651,-5.015,-2.065,-2.135
-1.6661,-77.214,77.214,-4.817,-1.94,-2.282
-1.8644,-85.36,85.36,-4.548,-1.955,-2.042
-1.6811,-77.909,77.909,-4.741,-1.894,-2.366
-1.9791,-88.626,88.626,-4.468,-1.907,-2.13
-1.7008,-76.927,76.927,-4.698,-1.852,-2.536
-2.0778,-91.544,91.544,-4.398,-1.8,-2.446
-2.4738,-106.83,106.83,-4.094,-1.847,-2.371
-1.4373,-64.979,64.979,-4.883,-1.888,-2.954
-1.7066,-76.111,76.111,-4.627,-1.754,-2.823
-2.1666,-93.117,93.117,-4.328,-1.704,-2.728
-2.6184,-109.9,109.9,-4.017,-1.743,-2.678
-2.8852,-120.14,120.14,-3.725,-1.866,-2.679
-1.4536,-63.344,63.344,-4.828,-1.673,-3.226
-1.7645,-75.805,75.805,-4.578,-1.563,-3.064
-2.2741,-94.197,94.197,-4.281,-1.517,-2.964
-2.7188,-111.97,111.97,-3.966,-1.539,-2.936
-3.0439,-122.82,122.82,-3.664,-1.626,-2.983
-1.4755,-62.894,62.894,-4.806,-1.377,-3.416
-1.818,-75.971,75.971,-4.559,-1.301,-3.232
-2.3457,-95.178,95.178,-4.262,-1.261,-3.128
-2.8361,-113.62,113.62,-3.945,-1.259,-3.115
-3.1556,-124.89,124.89,-3.64,-1.297,-3.194
-1.532,-63.351,63.351,-4.82,-1.036,-3.5
-1.8904,-76.643,76.643,-4.571,-0.999,-3.307
-2.4379,-96.129,96.129,-4.274,-0.964,-3.201
-2.938,-114.87,114.87,-3.958,-0.936,-3.195
-3.2664,-126.51,126.51,-3.655,-0.916,-3.288
-1.631,-64.671,64.671,-4.867,-0.689,-3.469
-1.9782,-77.734,77.734,-4.613,-0.691,-3.279
-2.5185,-97.04,97.04,-4.315,-0.663,-3.174
-3.0078,-115.77,115.77,-4.003,-0.607,-3.165
-3.346,-127.57,127.57,-3.708,-0.53,-3.253
-1.7177,-66.806,66.806,-4.943,-0.376,-3.327
-2.0598,-79.196,79.196,-4.68,-0.414,-3.153
